positionName,salary,workYear,city,companyShortName,companySize,district,financeStage,industryField,thirdType,resumeProcessDay,resumeProcessRate
Senior Data Analyst,15k-30k,3-5年,北京,AppAnnie,150-500人,东城区,D轮及以上,移动互联网,数据分析,1,100
数据分析师,15k-20k,3-5年,北京,北京合生活网络科技有限公司,150-500人,朝阳区,不需要融资,消费生活,数据分析,2,61
数据分析师,14k-25k,1-3年,北京,花生米富,150-500人,朝阳区,B轮,"移动互联网,金融",数据分析,2,100
数据分析师（融资）,8k-13k,1-3年,北京,有利网,2000人以上,朝阳区,不需要融资,金融,数据分析,0,0
数据分析师-用户增长,15k-30k,3-5年,北京,必要商城,150-500人,朝阳区,不需要融资,电商,数据分析,1,100
数据分析工程师,15k-30k,1-3年,北京,洋钱罐,150-500人,朝阳区,不需要融资,"移动互联网,金融",数据分析,1,100
风险计量部-数据分析师,15k-30k,不限,北京,贝壳金服,500-2000人,朝阳区,未融资,金融,数据分析,1,15
数据分析师,15k-25k,3-5年,北京,水滴互助,500-2000人,朝阳区,B轮,"移动互联网,医疗丨健康",数据分析,1,65
数据分析工程师,15k-30k,3-5年,北京,巅峰同道,50-150人,朝阳区,B轮,"金融,移动互联网",数据分析,1,10
高级数据分析师,25k-35k,5-10年,北京,发现旅行,50-150人,朝阳区,B轮,旅游,数据分析,1,92
高级数据分析师(财务),20k-30k,5-10年,北京,永洪科技,150-500人,朝阳区,C轮,企业服务,数据分析,2,100
数据分析经理,15k-25k,1-3年,北京,美菜网,2000人以上,朝阳区,D轮及以上,电商,数据分析,0,0
数据分析助理,5k-6k,不限,北京,骨朵传媒,15-50人,朝阳区,A轮,移动互联网,数据分析,0,0
数据分析助理工程师,8k-10k,不限,北京,亿脑科技,15-50人,朝阳区,未融资,"硬件,人工智能",数据分析,0,0
数据分析师（数据策略方向）,15k-30k,3-5年,北京,车好多集团,2000人以上,朝阳区,D轮及以上,消费生活,数据分析,1,100
数据分析师-用户画像方向,15k-25k,3-5年,北京,必要商城,150-500人,朝阳区,不需要融资,电商,数据运营,1,100
高级数据分析师,20k-35k,5-10年,北京,水滴互助,500-2000人,朝阳区,B轮,"移动互联网,医疗丨健康",业务运营,1,65
数据分析师（金融）,20k-40k,3-5年,北京,车好多集团,2000人以上,朝阳区,D轮及以上,消费生活,数据分析,1,100
数据分析师,15k-25k,1-3年,北京,洋钱罐,150-500人,朝阳区,不需要融资,"移动互联网,金融",数据分析,1,100
数据分析师,20k-30k,3-5年,北京,闪银奇异,500-2000人,朝阳区,D轮及以上,"移动互联网,金融",数据分析,1,100
数据分析师,10k-15k,1-3年,北京,索信达数据,150-500人,朝阳区,上市公司,人工智能,数据分析,1,100
数据分析,8k-12k,1年以下,北京,尚德机构,2000人以上,朝阳区,上市公司,教育,人力资源专员|助理,1,100
数据分析（融资方向）,8k-14k,1-3年,北京,有利网,2000人以上,朝阳区,不需要融资,金融,数据分析,1,100
数据分析师,15k-25k,3-5年,北京,动动,50-150人,朝阳区,B轮,"移动互联网,医疗丨健康",数据分析,1,94
数据分析师,10k-20k,1-3年,北京,玖富数科集团,2000人以上,朝阳区,D轮及以上,金融,数据分析,1,44
数据分析师,10k-20k,1-3年,北京,凤凰网,2000人以上,朝阳区,上市公司,文娱丨内容,数据分析,2,16
数据分析师,25k-50k,1-3年,北京,小红书,500-2000人,朝阳区,D轮及以上,消费生活,数据分析,1,100
数据分析师（信息流业务方向）,10k-20k,3-5年,北京,爱奇艺,2000人以上,朝阳区,上市公司,文娱丨内容,其他数据分析,2,100
数据分析师,15k-30k,5-10年,北京,考虫网,150-500人,朝阳区,D轮及以上,教育,数据分析,1,100
数据分析师,8k-12k,1-3年,北京,中澜视讯,50-150人,朝阳区,A轮,"移动互联网,文娱丨内容",数据分析,1,100
数据分析,10k-20k,3-5年,北京,有利网,2000人以上,朝阳区,不需要融资,金融,数据分析,1,100
数据分析师,15k-30k,3-5年,北京,玖富数科集团,2000人以上,朝阳区,D轮及以上,金融,数据分析,1,44
数据分析师,20k-35k,1-3年,北京,车托帮,50-150人,朝阳区,C轮,"移动互联网,消费生活",数据分析,2,40
数据分析师,6k-12k,1-3年,北京,CMGE中手游,500-2000人,朝阳区,上市公司,"移动互联网,游戏",数据分析,1,89
数据分析师,15k-30k,3-5年,北京,猿辅导,2000人以上,朝阳区,D轮及以上,"移动互联网,教育",数据分析,1,100
数据分析,8k-15k,1-3年,北京,世纪佳缘,500-2000人,朝阳区,上市公司,移动互联网,数据分析,1,100
数据分析师,20k-35k,1-3年,北京,数美,150-500人,朝阳区,B轮,"企业服务,数据服务",数据挖掘,1,100
